Model,T1 tpr,T1 fpr,T2 tpr,T2 fpr,T3 tpr,T3 fpr,Train MSE,Train Rsq,Test MSE,Test Rsq,Model Size,Run Time
Forward select,1,0,0,0,0,0,3.284,0.729,3.51,0.714,4.02,1.005
Iform weak (2),1,0.004,0,0,0,0,3.14,0.741,3.435,0.719,4.77,7.866
Iform strong(2),1,0,0,0,0,0,3.284,0.729,3.51,0.714,4.02,2.386
Forward select (2),1,0,0,0,0,0,1.081,0.911,1.171,0.904,8.04,29.095
Forward select (3),1,0,0,0,0,0,0.989,0.918,1.095,0.91,8.59,548.62
Iform weak(3),1,0.003,0,0,0,0,3.155,0.739,3.448,0.719,4.57,13.216
Iform strong(3),1,0,0,0,0,0,3.284,0.729,3.51,0.714,4.02,2.703
glinternet,1,0.71,1,0.029,0,0,0.844,0.931,1.578,0.871,44.59,26.564
hierNet,1,0.858,1,0.085,0,0,0.307,0.975,2.216,0.819,119.73,3.417
Oracle,NA,NA,NA,NA,NA,NA,0.952,0.921,1.031,0.915,9,NA
